"company_name","slug","contact_email","telnr","website","vat","street","number","postcode","municipality","service_areas","specializations","main_categories","title","introduction","is_public","is_claimed"
"Ctpaysage","ctpaysage","","","","BE0463264971","Steenweg op Brussel","294","1950","Kraainem","kraainem","tuinontwerp","tuinontwerp","Tuinontwerp in Kraainem","Ctpaysage is een lokale tuinaannemer uit Kraainem, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Dino","dino","","","","BE0777977810","Terlindenweg","138","1730","Asse","asse","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Asse","Dino is een lokale tuinaannemer uit Asse, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Felgroen","felgroen","info@felgroen.be","","http://www.felgroen.be","BE0674366665","Hauthem","30","3320","Hoegaarden","hoegaarden","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Hoegaarden","Felgroen is een geregistreerd tuinbedrijf actief in Hoegaarden en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Green Landscape Gardening Services","green-landscape-gardening-services","","","","BE0759927989","Nieuwbaan","145","1785","Merchtem","merchtem","tuinontwerp","tuinontwerp","Tuinontwerp in Merchtem","Green Landscape Gardening Services is een lokale tuinaannemer uit Merchtem, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Habitad","habitad","","","","BE0798467475","Bertelsheide(LOO)","24","3040","Huldenberg","huldenberg","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Huldenberg","Habitad is een lokale tuinaannemer uit Huldenberg, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Hay Tuinwerken","hay-tuinwerken","","","https://www.haytuinwerken.be","BE0673546521","Tervuursesteenweg","254","3001","Leuven","leuven","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Leuven","Hay Tuinwerken is een geregistreerd tuinbedrijf actief in Leuven en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Haylandic","haylandic","","","","BE0772695169","Dorpsstraat","27","3078","Kortenberg","kortenberg","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Kortenberg","Met jarenlange ervaring in landschapsverzorging staat Haylandic klaar voor al uw tuinwerk in Kortenberg. Betrouwbaar, lokaal en met oog voor detail.","false","false"
"Joren Mertens","joren-mertens","","","https://www.mertensjoren.com","BE0789431035","Kouterbaan","48","1840","Londerzeel","londerzeel","paden-terrassen","tuinonderhoud","Tuinonderhoud in regio Londerzeel","Joren Mertens is een lokale tuinaannemer uit Londerzeel, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Julian Stouffs Landscape Starter","julian-stouffs-landscape-starter","","02 307 84 21","https://jslandscape.be","BE0567569368","Heuken","3","1640","Sint-Genesius-Rode","sint-genesius-rode","tuinontwerp","tuinontwerp","Tuinontwerp in Sint-Genesius-Rode","Julian Stouffs Landscape Starter is een lokale tuinaannemer uit Sint-Genesius-Rode, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Lsv Tuinen","lsv-tuinen","lsvtuinen@gmail.com","0498 67 09 42","https://www.lsvtuinen.be","BE1000695451","Korte Steeg","1","3370","Boutersem","boutersem","tuinontwerp","tuinontwerp","Tuinontwerp in Boutersem","Lsv Tuinen is een lokale tuinaannemer uit Boutersem, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Luyten Emmanuel","luyten-emmanuel","","02 252 42 17","","BE0861314468","Spechtenstraat","8","3078","Kortenberg","kortenberg","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Kortenberg","Luyten Emmanuel is een lokale tuinaannemer uit Kortenberg, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Mart-Green","mart-green","","","","BE0822560790","Ketelheide","28","3090","Overijse","overijse","bomen-snoeien|hagen-knippen","tuinonderhoud","Tuinonderhoud in regio Overijse","Mart-Green is een geregistreerd tuinbedrijf actief in Overijse en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Neo Gardens And Construct","neo-gardens-and-construct","","","https://www.neogardens.be","BE0786519451","Hermelijnlaan","72","1700","Dilbeek","dilbeek","paden-terrassen","tuinonderhoud","Tuinonderhoud in regio Dilbeek","Met jarenlange ervaring in landschapsverzorging staat Neo Gardens And Construct klaar voor al uw tuinwerk in Dilbeek. Betrouwbaar, lokaal en met oog voor detail.","false","false"
"Outdoor Solutions","outdoor-solutions","","","","BE0683765965","Humbeeksesteenweg","466","1850","Grimbergen","grimbergen","tuinontwerp","tuinontwerp","Tuinontwerp in Grimbergen","Outdoor Solutions is een lokale tuinaannemer uit Grimbergen, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Steven van Meensel","steven-van-meensel","","016/29 80 64","http://www.vanmeenseltuinaanleg.be","BE0835929667","Tiendeschuurstraat","105","1910","Kampenhout","kampenhout","bomen-snoeien|hagen-knippen|tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Kampenhout","Steven van Meensel legt tuinen aan en onderhoudt groene ruimtes in Kampenhout en de wijde regio. Van klein onderhoud tot volledige tuinaanleg op maat.","false","false"
"Tuinen de Visscher","tuinen-de-visscher","info@tuinen-devisscher.be","02/354 16 36","https://www.tuinen-devisscher.be","BE0726679854","Bodegemstraat","290","1700","Dilbeek","dilbeek","tuinaanleg|gras-maaien|tuinontwerp","tuinaanleg","Tuinaanleg en -onderhoud in Dilbeek","Tuinen de Visscher is een lokale tuinaannemer uit Dilbeek, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Tuinen Souf","tuinen-souf","info@tuinensouf.be","0483 59 50 95","https://www.tuinensouf.be","BE1022089691","Kerkstraat","20","1790","Affligem","affligem","bomen-snoeien|hagen-knippen|tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Affligem","Tuinen Souf legt tuinen aan en onderhoudt groene ruimtes in Affligem en de wijde regio. Van klein onderhoud tot volledige tuinaanleg op maat.","false","false"
"Tuinen Tollet","tuinen-tollet","","","","BE1020934106","Paardskerkhofstraat","8","3320","Hoegaarden","hoegaarden","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Hoegaarden","Tuinen Tollet is een geregistreerd tuinbedrijf actief in Hoegaarden en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Tuinen De Coster","tuinen-de-coster","","0499 20 37 46","http://www.tuinen-de-coster.be","BE0774895881","Korenheide(LOO)","13","3040","Huldenberg","huldenberg","bomen-snoeien|hagen-knippen|tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Huldenberg","Tuinen De Coster legt tuinen aan en onderhoudt groene ruimtes in Huldenberg en de wijde regio. Van klein onderhoud tot volledige tuinaanleg op maat.","false","false"
"Tuinen Vleminckx","tuinen-vleminckx","stijn.vleminckx@hotmail.com","","","BE0808940804","Pluimennest","22","1840","Londerzeel","londerzeel","paden-terrassen","tuinonderhoud","Tuinonderhoud in regio Londerzeel","Tuinen Vleminckx is een lokale tuinaannemer uit Londerzeel, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Tuinwerken Bert Letelier","tuinwerken-bert-letelier","bert_letelier@hotmail.com","0498 35 12 99","","BE0780644617","Vranksberg(LOO)","12","3040","Huldenberg","huldenberg","tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Huldenberg","Tuinwerken Bert Letelier legt tuinen aan en onderhoudt groene ruimtes in Huldenberg en de wijde regio. Van klein onderhoud tot volledige tuinaanleg op maat.","false","false"
"b-outside","b-outside","","","http://www.b-outside.be","BE0758779530","Poelkbeekstraat","21","1760","Roosdaal","roosdaal","bomen-snoeien|hagen-knippen|tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Roosdaal","b-outside is een lokale tuinaannemer uit Roosdaal, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"unik-id","unik-id","","","https://www.unik-id.be","BE0666907563","Bredepleinstraat","27","3190","Boortmeerbeek","boortmeerbeek","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Boortmeerbeek","unik-id is een lokale tuinaannemer uit Boortmeerbeek, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Bas Koen-Schoonejans Erik","bas-koen-schoonejans-erik","","02 880 56 46","https://www.tuinaanleg-bs.be","BE0779046590","Grote Heirbaan","52","1852","Grimbergen","grimbergen","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Grimbergen","Bas Koen-Schoonejans Erik is een geregistreerd tuinbedrijf actief in Grimbergen en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Groener","groener","info@groener.be","02 253 29 82","https://www.groener.be","BE0642596294","Oostvaartdijk","44","1850","Grimbergen","grimbergen","tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Grimbergen","Groener legt tuinen aan en onderhoudt groene ruimtes in Grimbergen en de wijde regio. Van klein onderhoud tot volledige tuinaanleg op maat.","false","false"
"Hof te Lansrode- La Ferme de Lansrode","hof-te-lansrode-la-ferme-de-lansrode","","","","BE0738751307","Sint-Annalaan","111","1640","Sint-Genesius-Rode","sint-genesius-rode","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Sint-Genesius-Rode","Hof te Lansrode- La Ferme de Lansrode is een lokale tuinaannemer uit Sint-Genesius-Rode, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"J V L","j-v-l","","","","BE0810396792","Klapscheutstraat","57","1741","Ternat","ternat","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Ternat","J V L is een geregistreerd tuinbedrijf actief in Ternat en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Tuinen Rens","tuinen-rens","","","","BE1016423705","Spitsberg","3","3040","Huldenberg","huldenberg","bomen-snoeien|hagen-knippen|tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Huldenberg","Tuinen Rens is een lokale tuinaannemer uit Huldenberg, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Tuinen De Braekeleer Juul","tuinen-de-braekeleer-juul","","","","BE1021073468","Pastoriestraat","2","1761","Roosdaal","roosdaal","tuinontwerp","tuinontwerp","Tuinontwerp in Roosdaal","Tuinen De Braekeleer Juul is een lokale tuinaannemer uit Roosdaal, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Arbo.cura Boomverzorging","arbo-cura-boomverzorging","sim@arbocura.be","03 366 10 29","","BE0680515574","Herentalsebaan","204","2160","Wommelgem","wommelgem","bomen-snoeien|hagen-knippen","tuinonderhoud","Tuinonderhoud in regio Wommelgem","Arbo.cura Boomverzorging is een geregistreerd tuinbedrijf actief in Wommelgem en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Green Belt","green-belt","greenbeltbv@gmail.com","+32484468918","","BE1013566361","Hooimate","41","2170","Antwerpen","antwerpen","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Antwerpen","Met jarenlange ervaring in landschapsverzorging staat Green Belt klaar voor al uw tuinwerk in Antwerpen. Betrouwbaar, lokaal en met oog voor detail.","false","false"
"Triunfal vzw","triunfal-vzw","bram.vanweverberg@gmail.com","","","BE0769375393","Hamerstraat","63","2800","Mechelen","mechelen","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Mechelen","Triunfal vzw is een lokale tuinaannemer uit Mechelen, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Tuinen De Ridder","tuinen-de-ridder","tuinen.deridder@hotmail.com","","","BE0758862771","Pinksterbloemlaan","20","2180","Antwerpen","antwerpen","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Antwerpen","Tuinen De Ridder is een geregistreerd tuinbedrijf actief in Antwerpen en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Urban Tuinen","urban-tuinen","exx_bogdan@yahoo.com","","","BE1020132271","Berkenveldplein","54","2610","Antwerpen","antwerpen","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Antwerpen","Met jarenlange ervaring in landschapsverzorging staat Urban Tuinen klaar voor al uw tuinwerk in Antwerpen. Betrouwbaar, lokaal en met oog voor detail.","false","false"
"Alpha Team Tuinen","alpha-team-tuinen","","","","BE0878979752","Klappeistraat","10","2060","Antwerpen","antwerpen","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Antwerpen","Alpha Team Tuinen is een lokale tuinaannemer uit Antwerpen, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Alves Treelosophy","alves-treelosophy","","","","BE1020400408","Sint Willebrordusstraat","38","2960","Brecht","brecht","bomen-snoeien|hagen-knippen|tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Brecht","Alves Treelosophy is een lokale tuinaannemer uit Brecht, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Arbotech","arbotech","","","","BE0808640005","Nielsestraat","225","2850","Boom","boom","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Boom","Met jarenlange ervaring in landschapsverzorging staat Arbotech klaar voor al uw tuinwerk in Boom. Betrouwbaar, lokaal en met oog voor detail.","false","false"
"Bart Aerts","bart-aerts","","","","BE0502372995","Kapelstraat","30","2380","Ravels","ravels","tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Ravels","Bart Aerts is een lokale tuinaannemer uit Ravels, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"BRM Tuinen","brm-tuinen","","","","BE0887904148","Pastoor Van Loenhoutlaan","58","2390","Malle","malle","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Malle","BRM Tuinen is een geregistreerd tuinbedrijf actief in Malle en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Bert Van Looveren","bert-van-looveren","","","","BE1019651528","Hofstraat","13","2910","Essen","essen","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Essen","Met jarenlange ervaring in landschapsverzorging staat Bert Van Looveren klaar voor al uw tuinwerk in Essen. Betrouwbaar, lokaal en met oog voor detail.","false","false"
"De Groentint","de-groentint","","","","BE0806509765","Schrieksesteenweg","105","2580","Putte","putte","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Putte","De Groentint is een lokale tuinaannemer uit Putte, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Fanos","fanos","","","","BE1003756889","Koolmeeslaan","30","2243","Zandhoven","zandhoven","paden-terrassen","tuinonderhoud","Tuinonderhoud in regio Zandhoven","Fanos is een geregistreerd tuinbedrijf actief in Zandhoven en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Ferre Mermans Algemene Tuinwerken","ferre-mermans-algemene-tuinwerken","","","","BE0781759820","Werbeek","44","2470","Retie","retie","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Retie","Met jarenlange ervaring in landschapsverzorging staat Ferre Mermans Algemene Tuinwerken klaar voor al uw tuinwerk in Retie. Betrouwbaar, lokaal en met oog voor detail.","false","false"
"Flora Worx","flora-worx","","","","BE0783418520","Pulse steenweg","15","2280","Grobbendonk","grobbendonk","bomen-snoeien|hagen-knippen|tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Grobbendonk","Flora Worx is een lokale tuinaannemer uit Grobbendonk, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Groenplant","groenplant","","","","BE0897251681","Kapelledijk(WIE)","52","2222","Heist-op-den-Berg","heist-op-den-berg","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Heist-op-den-Berg","Groenplant is een geregistreerd tuinbedrijf actief in Heist-op-den-Berg en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Groenvisie","groenvisie","","","","BE1017618981","Mechelbaan","268/F000","2580","Putte","putte","bomen-snoeien|hagen-knippen|tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Putte","Groenvisie is een lokale tuinaannemer uit Putte, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Home & Garden Solutions","home-garden-solutions","","","","BE0666548762","Herentalsebaan","77","2150","Antwerpen","antwerpen","bomen-snoeien|hagen-knippen|tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Antwerpen","Home & Garden Solutions legt tuinen aan en onderhoudt groene ruimtes in Antwerpen en de wijde regio. Van klein onderhoud tot volledige tuinaanleg op maat.","false","false"
"Jong Groen Tuinen","jong-groen-tuinen","","","","BE1023047221","Den Dijk (Dp)","35","2920","Kalmthout","kalmthout","tuinontwerp|paden-terrassen","tuinontwerp","Tuinontwerp in Kalmthout","Jong Groen Tuinen is een lokale tuinaannemer uit Kalmthout, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"La Corbeille Onderhoud","la-corbeille-onderhoud","","","","BE0635540139","Corbeillestraat","40","2235","Hulshout","hulshout","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Hulshout","Met jarenlange ervaring in landschapsverzorging staat La Corbeille Onderhoud klaar voor al uw tuinwerk in Hulshout. Betrouwbaar, lokaal en met oog voor detail.","false","false"
"Mikel Roels","mikel-roels","","","","BE0630605809","De Reukens","3","2275","Lille","lille","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Lille","Mikel Roels is een lokale tuinaannemer uit Lille, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Paleisrest","paleisrest","","","","BE0471995565","Annadreef","19","2930","Brasschaat","brasschaat","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Brasschaat","Paleisrest is een geregistreerd tuinbedrijf actief in Brasschaat en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Schotense Tuinwerken","schotense-tuinwerken","","","","BE0806642397","Laaglandlei","121","2900","Schoten","schoten","tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Schoten","Schotense Tuinwerken is een lokale tuinaannemer uit Schoten, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Tuinaannemer Dirk van Laer","tuinaannemer-dirk-van-laer","","","","BE0842945242","De Linieweg","40","2380","Ravels","ravels","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Ravels","Tuinaannemer Dirk van Laer is een lokale tuinaannemer uit Ravels, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Tuinarchitect","tuinarchitect","","","","BE0467970659","Vijverlaan","45","2910","Essen","essen","tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Essen","Tuinarchitect is een lokale tuinaannemer uit Essen, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Moreels Alberic","moreels-alberic","moreels@gmail.com","0477435578","","BE0820706508","Philippe de Denterghemlaan","19","9831","Sint-Martens-Latem","sint-martens-latem","tuinontwerp","tuinontwerp","Tuinontwerp in Sint-Martens-Latem","Moreels Alberic is een lokale tuinaannemer uit Sint-Martens-Latem, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Btwe John de Wilde","btwe-john-de-wilde","john@johndewilde.be","09/355.92.12.","","BE0656859947","Mellestraat","19","9270","Laarne","laarne","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Laarne","Btwe John de Wilde is een lokale tuinaannemer uit Laarne, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Dakwerken Hopi","dakwerken-hopi","hopi28@abv.bg","","","BE1019598177","Louis De Smetstraat","52","9050","Gent","gent","paden-terrassen","tuinonderhoud","Tuinonderhoud in regio Gent","Dakwerken Hopi is een geregistreerd tuinbedrijf actief in Gent en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"Gardens Geirnaert","gardens-geirnaert","geirnaertkeanu@hotmail.com","","","BE0800514472","Drogenbroodstraat","54","9940","Evergem","evergem","bomen-snoeien|hagen-knippen|tuinaanleg|gras-maaien","tuinaanleg","Tuinaanleg en -onderhoud in Evergem","Gardens Geirnaert is een lokale tuinaannemer uit Evergem, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Stoop Groep","stoop-groep","","03/778.29.00","","BE0679669793","Gentseweg(BEV)","299","9120","Beveren-Kruibeke-Zwijndrecht","beveren-kruibeke-zwijndrecht","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Beveren-Kruibeke-Zwijndrecht","Stoop Groep is een lokale tuinaannemer uit Beveren-Kruibeke-Zwijndrecht, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Wase Vijvergroep","wase-vijvergroep","info@wasevijverwinkel.be","03/776.12.80","","BE0832099454","Heihoekstraat","223","9100","Sint-Niklaas","sint-niklaas","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Sint-Niklaas","Wase Vijvergroep is een geregistreerd tuinbedrijf actief in Sint-Niklaas en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
"groep aveve vanden berghe","groep-aveve-vanden-berghe","vandenberghe.kris@aveve.be","093480222","","BE0701978013","Braamstraat","2","9160","Lokeren","lokeren","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Lokeren","Met jarenlange ervaring in landschapsverzorging staat groep aveve vanden berghe klaar voor al uw tuinwerk in Lokeren. Betrouwbaar, lokaal en met oog voor detail.","false","false"
"Amazing Gardens","amazing-gardens","","","","BE0793833647","Heidestraat","19","9250","Waasmunster","waasmunster","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Waasmunster","Amazing Gardens is een lokale tuinaannemer uit Waasmunster, gespecialiseerd in onderhoud, aanleg en snoeiwerk.","false","false"
"Baeyens Groep","baeyens-groep","","","","BE0764358317","Bosstraat","198","9340","Lede","lede","gras-maaien|hagen-knippen|bomen-snoeien","tuinonderhoud","Tuinonderhoud in regio Lede","Baeyens Groep is een geregistreerd tuinbedrijf actief in Lede en omgeving. Wij verzorgen tuinonderhoud, snoeiwerk en groenbeheer voor particulieren en bedrijven.","false","false"
